"","loc","lon","lat"
"1","Denver , CO",-104.990251,39.7392358
"2","Mobile , AL",-88.0398912,30.6953657
"3","Orange , CA",-117.8531007,33.7879139
"4","Palm Beach , FL",-80.0364297,26.7056206
"5","Philadelphia , PA",-75.1652215,39.9525839
"6","Latrobe , PA",-79.3794811,40.3211808
"7","Essex , VT",-73.1112433,44.4905054
"8","Falls City , NE",-95.6019294,40.0608352
"9","Portage , OH",-83.6507668,41.3267189
"10","Versailles , OH",-84.484396,40.2225481
"11","Little Rock , AR",-92.2895948,34.7464809
"12","Atlanta , GA",-84.3879824,33.7489954
"13","Flint , MI",-83.6874562,43.0125274
"14","Zanesville , OH",-82.0131924,39.9403453
"15","Newburyport , MA",-70.8772751,42.8125913
"16","New Eagle , PA",-79.9469943,40.2078486
"17","Van Nuys , CA",-118.451357,34.1898566
"18","Cleveland , OH",-81.6943605,41.49932
"19","Fort Towson , OK",-95.266344,34.0187169
"20","Columbus , GA",-84.9877094,32.4609764
"21","Torrance , CA",-118.3406288,33.8358492
"22","Bynum , NC",-79.1422354,35.7740346
"23","Stanley , NC",-81.0970214,35.3590256
"24","Forest City , NC",-81.8651028,35.3340108
"25","Chicago , IL",-87.6297982,41.8781136
"26","Terrell , TX",-96.2752569,32.7359626
"27","Hamilton , OH",-84.5613355,39.3995008
"28","Seattle , WA",-122.3320708,47.6062095
"29","Corpus Christi , TX",-97.396381,27.8005828
"30","Oakland , CA",-122.2711639,37.8043514
"31","St. Louis , MO",-90.1994042,38.6270025
"32","Phoenix , AZ",-112.0740373,33.4483771
"33","Toledo , OH",-83.5378674,41.6528052
"34","Freer , TX",-98.6177929,27.8827965
"35","Paterson , NJ",-74.171811,40.9167654
"36","Winston-Salem , NC",-80.244216,36.0998596
"37","Hayward , WI",-91.4846208,46.0130065
"38","Concord , CA",-122.0310733,37.9779776
"39","Sand Springs , OK",-96.108891,36.1398102
"40","Waxahachie , TX",-96.8483311,32.3865312
"41","Willows , CA",-122.1935931,39.5243265
"42","Montgomery , AL",-86.3077368,32.3792233
"43","Tipton , IN",-86.041098,40.2822598
"44","Wharton , TX",-96.1027371,29.3116366
"45","Holyoke , MA",-72.6162009,42.2042586
"46","Birmingham , AL",-86.8103567,33.5185892
"47","Tuolumne , CA",-120.2412999,37.9627027
"48","Pittsburgh , PA",-79.9958864,40.4406248
"49","Trinidad , CO",-104.5005407,37.1694632
"50","Margate , FL",-80.206436,26.2445263
"51","Blue River , WI",-90.5667926,43.1883183
"52","Worcester , MA",-71.8022934,42.2625932
"53","Northbridge , MA",-71.6494407,42.1516323
"54","Hollywood , CA",-118.3286614,34.0928092
"55","East St. Louis , IL",-90.1506465,38.624514
"56","Cowden , IL",-88.8622895,39.2483753
"57","Lakewood , CA",-118.1339563,33.8536269
"58","Talihina , OK",-95.0480162,34.7514893
"59","Philipsburg , PA",-78.2205688,40.8964465
"60","San Diego , CA",-117.1610838,32.715738
"61","Cincinnati , OH",-84.5120196,39.1031182
"62","Parlier , CA",-119.5270734,36.6116174
"63","Paris , TX",-95.555513,33.6609389
"64","Upland , CA",-117.6483876,34.09751
"65","Laurinburg , NC",-79.4628248,34.7740494
"66","New Orleans , LA",-90.0715323,29.9510658
"67","Zerbe , PA",-76.6528225,40.7738575
"68","Layton , UT",-111.9710529,41.0602216
"69","Clearfield , PA",-78.4391876,41.0272796
"70","Gallup , NM",-108.7425843,35.5280783
"71","Coushatta , LA",-93.3421165,32.0148834
"72","Elizabethtown , KY",-85.8649408,37.7030646
"73","Mineral , OH",-82.263847,39.324307
"74","Silver Spring , MD",-77.026088,38.9906657
"75","Mount Olive , NC",-78.0663788,35.1965531
"76","Norcatur , KS",-100.1879139,39.8369494
"77","Electra , TX",-98.9189575,34.0292588
"78","Troy , WI",-88.4448195,42.778903
"79","Jacksonville , AR",-92.1101458,34.8662005
"80","Fulton , MO",-91.9479586,38.8467082
"81","Huntington , WV",-82.445154,38.4192496
"82","Long Beach , CA",-118.1937395,33.7700504
"83","Escondido , CA",-117.086421,33.1192068
"84","Honolulu , HI",-157.8583333,21.3069444
"85","Magnolia , AL",-87.6680606,32.1357021
"86","Lynn , MA",-70.9494938,42.466763
"87","Coshocton , OH",-81.8595756,40.2720151
"88","Farmington , MO",-90.4217895,37.7808846
"89","Redwood City , CA",-122.228141,37.4847955
"90","San Gabriel , CA",-118.1058333,34.0961111
"91","Azusa , CA",-117.9075627,34.1336186
"92","Troy , NY",-73.6917851,42.7284117
"93","San Francisco , CA",-122.4194155,37.7749295
"94","Springfield , MA",-72.589811,42.1014831
"95","Seneca , SC",-82.9532036,34.6856555
"96","Eugene , OR",-123.0867536,44.0520691
"97","Baton Rouge , LA",-91.1871466,30.4514677
"98","Tyndall , SD",-97.8628464,42.9933296
"99","Kingman , KS",-98.1136734,37.6458491
"100","Altoona , PA",-78.3947359,40.5186809
"101","Tulare , CA",-119.3473379,36.2077288
"102","Chattanooga , TN",-85.3096801,35.0456297
"103","Shelbyville , IN",-85.7769238,39.5214373
"104","New York , NY",-74.0059728,40.7127753
"105","Williamsport , PA",-77.0010786,41.2411897
"106","Grand Rapids , MI",-85.6680863,42.9633599
"107","Reading , PA",-75.9268747,40.3356483
"108","Houston , TX",-95.3698028,29.7604267
"109","Saginaw , MI",-83.9508068,43.4194699
"110","St. Petersburg , FL",-82.6402915,27.7676008
"111","Key West , FL",-81.7799871,24.5550593
"112","Wooster , OH",-81.935143,40.8050565
"113","Belden , NE",-97.207091,42.4121191
"114","Carmel , CA",-121.9232879,36.5552386
"115","San Angelo , TX",-100.4370375,31.4637723
"116","Alexandria , LA",-92.4451371,31.3112936
"117","Crane , IN",-86.9008772,38.8946267
"118","Greeneville , TN",-82.8309861,36.1631574
"119","Cordova , AL",-87.1833349,33.7598291
"120","Los Angeles , CA",-118.2436849,34.0522342
"121","Buffalo , MO",-93.0924093,37.6439289
"122","Shreveport , LA",-93.7501789,32.5251516
"123","Pana , IL",-89.0800809,39.3889311
"124","Elba , NE",-98.5678508,41.2855678
"125","Santa Rosa , CA",-122.7140548,38.440429
"126","San Antonio , TX",-98.4936282,29.4241219
"127","Richmond , VA",-77.4360481,37.5407246
"128","Spring Valley , IL",-89.1998076,41.3275352
"129","East Liverpool , OH",-80.5772928,40.6186756
"130","Marion , OH",-83.1285242,40.5886699
"131","Muscoda , WI",-90.4431807,43.1849868
"132","Smithville , TN",-85.8141516,35.9606185
"133","Tatum , TX",-94.5165913,32.3159894
"134","Conroe , TX",-95.4560512,30.3118769
"135","Dallas , TX",-96.7969879,32.7766642
"136","Orlando , FL",-81.3792365,28.5383355
"137","Wampum , PA",-80.3381195,40.8881184
"138","Oklahoma City , OK",-97.5164276,35.4675602
"139","Newbern , AL",-87.5327815,32.5931884
"140","Culver City , CA",-118.3964665,34.0211224
"141","Augusta , ME",-69.7794897,44.3106241
"142","Westport , CT",-73.3579049,41.1414717
"143","DeLand , FL",-81.3031179,29.028318
"144","Woodstock , IL",-88.4487021,42.3147436
"145","Yakima , WA",-120.5058987,46.6020711
"146","Anderson , IN",-85.6802541,40.1053196
"147","Berkeley Springs , WV",-78.2271957,39.6269902
"148","Lenoir , NC",-81.5389849,35.9140196
"149","Fontana , CA",-117.435048,34.0922335
"150","Merced , CA",-120.4829677,37.3021632
"151","Covington , GA",-83.8601827,33.5967815
"152","Kingston , NY",-73.9973608,41.9270367
"153","Kansas City , KS",-94.6267873,39.1155314
"154","Norton , KS",-99.8915113,39.8338946
"155","Columbiana , OH",-80.6939643,40.8883931
"156","West Plains , MO",-91.8523711,36.7281154
"157","New Bedford , MA",-70.934205,41.6362152
"158","Statesville , NC",-80.8872959,35.7826363
"159","Raytown , MO",-94.4635638,39.0086171
"160","Front Royal , VA",-78.1944446,38.9181671
"161","Owensboro , KY",-87.1111676,37.7719074
